date,Content,Likes,Retweet
2020-11-25 00:16:50+00:00,@aholstein404 @flcnhvy @thesheetztweetz This is a subject of much debate,1578,35
2020-11-25 00:15:56+00:00,@flcnhvy @thesheetztweetz Major upgrades are slated for SN15,3453,117
2020-11-25 00:13:02+00:00,"@flcnhvy @thesheetztweetz Many small improvements, but overall similar. Wiring is more robust, engines are more mature, nosecone is sealed better, etc.",3037,73
2020-11-25 00:08:00+00:00,@thesheetztweetz But that’s why we have SN 9 &amp; SN10,3415,90
2020-11-25 00:07:24+00:00,"@thesheetztweetz Lot of things need to go right, so maybe 1/3 chance",4339,139
2020-11-24 23:59:27+00:00,"Good Starship SN8 static fire! Aiming for first 15km / ~50k ft altitude flight next week. Goals are to test 3 engine ascent, body flaps, transition from main to header tanks &amp; landing flip.",50042,2807
2020-11-24 19:23:27+00:00,@Erdayastronaut @MarcusHouseGame Maybe start on that a year from now. Depends on how Starship progress goes.,3240,87
2020-11-24 19:22:45+00:00,@RationalEtienne @MarcusHouseGame Not yet,1049,20
2020-11-24 18:54:33+00:00,"@StarshipFairing @MarcusHouseGame Not bad! We will definitely need more engines if we make the cargo bay all propellant, but it’s probably smarter than a whole new shorter external hull.",1334,37
2020-11-24 18:49:12+00:00,"@MarcusHouseGame Rapid &amp; complete rocket reuse, low cost propellant, orbital refilling &amp; propellant production at destination are the four essential elements of making life multiplanetary",6929,309
2020-11-24 06:45:43+00:00,@Erdayastronaut @PPathole @Teslarati @TeslaRoadTrip Yes,2791,43
2020-11-24 03:20:27+00:00,"@PPathole @Teslarati @TeslaRoadTrip We’re still far from simply video in, control out. The biggest game-changer, currently underway at Tesla, is 360 degree, high fps video for labeling, training &amp; inference.",2321,89
2020-11-24 02:30:47+00:00,@Teslarati @TeslaRoadTrip FSD Beta 5 coming out in a few days. Improvement should be significant.,9356,474
2020-11-23 22:45:12+00:00,@XHNews Exciting mission!,5492,115
2020-11-23 21:12:28+00:00,@vincent13031925 @Tesla Wow,17233,300
2020-11-23 06:56:32+00:00,@Liv_Boeree Yea,5542,66
2020-11-22 03:42:11+00:00,"Tomorrow will be the 7th flight of this rocket, landing on droneship Of Course I Still Love You",111635,3123
2020-11-21 21:27:06+00:00,@JohnnaCrider1 @teslaownerssv @28delayslater Sure,1881,34
2020-11-21 21:22:09+00:00,@FutureJurvetson @flcnhvy True,877,17
2020-11-21 21:12:25+00:00,@RationalEtienne @heydave7 @philwhln We have quiet a queue of products to build! Better do new Roadster at some point😬.,2423,79
2020-11-21 21:10:08+00:00,"@RationalEtienne @ShyCybertruck Fate loves irony, but hates hypocrisy",1471,120
2020-11-21 17:49:30+00:00,@ICannot_Enough @heydave7 Yes 😃,1172,25
2020-11-21 17:48:38+00:00,@flcnhvy Our data center was named Skynet as a joke over 10 years ago. Might have been tempting fate!,3106,104
2020-11-21 17:47:12+00:00,@heydave7 @philwhln Tesla is a vehicle for creating &amp; producing many useful products,1811,95
2020-11-21 17:38:56+00:00,@NASASpaceflight Largest cast titanium part in the world. No heat shielding needed.,3646,99
2020-11-21 17:34:45+00:00,Landing at Vandenberg AFB in California,63680,3640
2020-11-21 17:29:57+00:00,"@tobyliiiiiiiiii @SpaceX @NASA @NASA_LSP @NASAJPL @esa Actually, off to the side (so it doesn’t take out the launch mount in bad landing), but with the same arm used to pick up the ship",1021,33
2020-11-21 17:28:32+00:00,@tobyliiiiiiiiii @SpaceX @NASA @NASA_LSP @NASAJPL @esa Where it should be!,1075,21
2020-11-21 16:33:40+00:00,"@philwhln @heydave7 Because I am not an investor. Tesla is definitely not the only good company, but investing is not what I do. But I always put my own money into companies I help create, otherwise it’d be wrong to ask others to do so.",2312,129
2020-11-21 16:30:40+00:00,"Well, almost anything",19881,509
2020-11-21 14:44:07+00:00,Quite the day ahead,30191,1226
2020-11-21 06:19:36+00:00,@NASAaero @LockheedMartin Now *this* is what you’d call pointy!,2480,43
2020-11-21 04:43:51+00:00,@cleantechnica Cool,3730,69
2020-11-21 04:36:51+00:00,"@Astro_Fonseca @Space_Station @wonderofscience @VirtualAstro They’re moving at ~25 times the speed of sound, but it feels like nothing",48122,1289
2020-11-21 03:31:02+00:00,@WorldAndScience https://t.co/XAJaN4j9ZR,12527,606
2020-11-20 20:06:46+00:00,@vicentes @EvaFoxU @PPathole @mirojurcevic @TashaARK @Space_Station There will always be upgrades,1499,52
2020-11-20 20:00:35+00:00,@EvaFoxU @PPathole @mirojurcevic @TashaARK @Space_Station It will be better than human vision by quite a margin,1205,36
2020-11-20 19:57:48+00:00,@enn_nafnlaus @mirojurcevic @TashaARK @Space_Station Reality looks like a strange ghost-world at radar wavelengths. Almost everything except metal is translucent.,1092,31
2020-11-20 19:55:10+00:00,@PPathole @mirojurcevic @TashaARK @Space_Station Exactly,630,11
2020-11-20 18:03:45+00:00,"@mirojurcevic @TashaARK This is a misperception. SpaceX developed &amp; continues to use lidar for Dragon docking with @Space_Station. 

Just pointless imo for self-driving. If you’re going to do active photon generation, use an occlusion penetrating wavelength, like precision radar at ~4mm.",2176,105
2020-11-20 17:55:42+00:00,@PhilippeCROIZON @SpaceX One day we will fly you on Starship,15394,1363
2020-11-20 16:02:44+00:00,@Peter_J_Beck Well done!,12724,125
2020-11-20 15:49:13+00:00,"@hisdirtremoves @SpaceX I can’t comment on turbopump internal details, but you’re roughly in the ballpark. Wow, rocket turbopumps, especially if oxygen-rich, are insanely hard! Arguably, the hardest mechanical/fluids/combustion problem known to exist.",3367,96
2020-11-20 15:43:39+00:00,"@TashaARK To be clear, this was just an XPeng problem. Other companies in China have not done this.",1703,58
2020-11-20 15:24:26+00:00,"@IsaacLatterell @TashaARK @karpathy Andrej is awesome, but it should be said that we have a very talented Autopilot/AI team at Tesla. Too much credit comes to me &amp; Andrej.",1685,73
2020-11-20 15:20:10+00:00,"@spacetouristuk @TashaARK Yeah. They stole Apple’s code too.
https://t.co/gy4DT7Pq9N",1755,218
